,full,title,description,duration,price_per_month,FOR_WHOM,author,is_free,url,AUD_TARGET,cluster
10,"Нейросети для финансов и инвестиций Анализируйте рынки и инвестиционные решения с помощью курса Нейросети для финансов и инвестиций, автоматизируйте финансовые отчеты",Нейросети для финансов и инвестиций,"Анализируйте рынки и инвестиционные решения с помощью курса Нейросети для финансов и инвестиций, автоматизируйте финансовые отчеты",9 недел,2758,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/ai-finance,"Финансы, бизнес",0
11,"Нейросети для бизнеса и управленцев Пройдите обучение по нейросетям для бизнеса в Нетологии. Курс ИИ для руководителей и менеджеров, которые хотят интегрировать искусственный интеллект в свои бизнес-процессы.",Нейросети для бизнеса и управленцев,"Пройдите обучение по нейросетям для бизнеса в Нетологии. Курс ИИ для руководителей и менеджеров, которые хотят интегрировать искусственный интеллект в свои бизнес-процессы.",2 месяца,2520,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/ai-manager,"Менеджмент, управление проектами, Финансы, бизнес, Нейросети",1
12,"Нейросети для маркетинга Курс «Нейросети для маркетинга и продаж» от Нетологии. Освойте ИИ для улучшения эффективности рекламы, автоматизации задач и анализа данных. Сертификат по окончании, онлайн-обучение.",Нейросети для маркетинга,"Курс «Нейросети для маркетинга и продаж» от Нетологии. Освойте ИИ для улучшения эффективности рекламы, автоматизации задач и анализа данных. Сертификат по окончании, онлайн-обучение.",1 месяц,3022,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/ai-marketing,"Нейросети, Маркетинг, реклама, PR",2
13,"Нейросети для маркетплейсов Научитесь создавать карточки на маркетплейсах и контент для них с помощью ИИ, автоматизируйте процессы, анализируйте конкурентов на курсе Нейросети для маркетплейсов",Нейросети для маркетплейсов,"Научитесь создавать карточки на маркетплейсах и контент для них с помощью ИИ, автоматизируйте процессы, анализируйте конкурентов на курсе Нейросети для маркетплейсов",1 месяц,2236,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/ai-marketplaces,"Маркетплейсы, Нейросети",3
14,"ИИ-разработчик: от API до агентов Освойте прикладные навыки ИИ-разработки, работу с API на курсе Профессия ИИ-разработчик. Дипломы Нетологии и МТУСИ",ИИ-разработчик: от API до агентов,"Освойте прикладные навыки ИИ-разработки, работу с API на курсе Профессия ИИ-разработчик. Дипломы Нетологии и МТУСИ",6 месяц,4027,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/aid,"Разработка, тестирование, Нейросети",1
15,Нейросети для анализа данных Освойте нейросети для анализа данных! Научитесь быстро анализировать данные с помощью нейросетей. Обучение онлайн с экспертами.,Нейросети для анализа данных,Освойте нейросети для анализа данных! Научитесь быстро анализировать данные с помощью нейросетей. Обучение онлайн с экспертами.,2 месяц,3233,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/aida,"Нейросети, Анализ данных",1
16,"Нейросети для разработчиков На курсе Нейросети для разработчиков вы узнаете, как при помощи ИИ создавать промты, автоматизировать тестирование, писать документацию",Нейросети для разработчиков,"На курсе Нейросети для разработчиков вы узнаете, как при помощи ИИ создавать промты, автоматизировать тестирование, писать документацию",7 недел,3201,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/airazrab,"Разработка, тестирование, Нейросети",8
17,Аналитика данных и использование искусственного интеллекта в психологии Станьте востребованным специалистом на стыке психологии и анализа данных. На магистратуре Нетологии и Московского института психоанализа вы научитесь выдвигать гипотезы на основе данных пользователей.,Аналитика данных и использование искусственного интеллекта в психологии,Станьте востребованным специалистом на стыке психологии и анализа данных. На магистратуре Нетологии и Московского института психоанализа вы научитесь выдвигать гипотезы на основе данных пользователей.,2 год,200000,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология+Московский институт психоанализа,False,https://netology.ru/programs/analitika-dannyh-i-ispolzovanie-iskusstvennogo-intellekta-v-psihologii,"Анализ данных, UX\UI-дизайн, Психология",4
18,"Аналитик BI Профессия «Аналитик BI» от Нетологии: изучите анализ и визуализацию данных на SQL, Power BI, Tableau и Yandex DataLens. Индивидуальные консультации и подготовка к трудоустройству помогут вам развить ключевые навыки для успешной карьеры в аналитике.",Аналитик BI,"Профессия «Аналитик BI» от Нетологии: изучите анализ и визуализацию данных на SQL, Power BI, Tableau и Yandex DataLens. Индивидуальные консультации и подготовка к трудоустройству помогут вам развить ключевые навыки для успешной карьеры в аналитике.",4 месяца,3661,AUD_ANALYST AUD_BEGINNER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/analyst-bi,Анализ данных,4
19,Системный аналитик: Стань экспертом в системной аналитике данных и DWH с Netology! Получи профессиональные навыки и примени их в реальных проектах. Программа обучения и практика от ведущих специалистов в индустрии.,Системный аналитик:,Стань экспертом в системной аналитике данных и DWH с Netology! Получи профессиональные навыки и примени их в реальных проектах. Программа обучения и практика от ведущих специалистов в индустрии.,11 месяцев,3086,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/analytics-dwh,"Анализ данных, Менеджмент, управление проектами",4
20,Android-разработчик Профессия «Android-разработчик с нуля» от Нетологии: научитесь создавать приложения на Android на Kotlin и изучите основы Java. Практика на реальных проектах от партнёров позволит вам развить ключевые навыки для успешной карьеры в мобильной разработке.,Android-разработчик,Профессия «Android-разработчик с нуля» от Нетологии: научитесь создавать приложения на Android на Kotlin и изучите основы Java. Практика на реальных проектах от партнёров позволит вам развить ключевые навыки для успешной карьеры в мобильной разработке.,15 месяцев,3847,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/android-app,"Разработка, тестирование",8
21,"Инженер по автоматизации Профессия «Инженер по автоматизации» от Нетологии: с нуля освоите программирование контроллеров и SCADA-систем, создадите автоматизированные системы управления и станете востребованным специалистом в таких сферах, как энергетика и промышленность.",Инженер по автоматизации,"Профессия «Инженер по автоматизации» от Нетологии: с нуля освоите программирование контроллеров и SCADA-систем, создадите автоматизированные системы управления и станете востребованным специалистом в таких сферах, как энергетика и промышленность.",13 месяц,2905,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/automation-engineer,"Разработка, тестирование, Менеджмент, управление проектами, Нейросети",8
22,Передовые практики продаж Курс «Передовые практики продаж» от Нетологии: научитесь работать с разными типами клиентов и станьте высокооплачиваемым менеджером по продажам. Освойте техники продаж и получите навыки для успешной карьеры за 3 месяца.,Передовые практики продаж,Курс «Передовые практики продаж» от Нетологии: научитесь работать с разными типами клиентов и станьте высокооплачиваемым менеджером по продажам. Освойте техники продаж и получите навыки для успешной карьеры за 3 месяца.,2 месяца,3310,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/best_sales,"Менеджмент, управление проектами",7
23,"Моделирование бизнес-процессов BPMN 2.0 Курс по BPMN 2.0 от Нетологии: изучите моделирование и оптимизацию бизнес-процессов с использованием нотации BPMN 2.0. Получите практические навыки, работая с реальными кейсами, и сертификат.",Моделирование бизнес-процессов BPMN 2.0,"Курс по BPMN 2.0 от Нетологии: изучите моделирование и оптимизацию бизнес-процессов с использованием нотации BPMN 2.0. Получите практические навыки, работая с реальными кейсами, и сертификат.",1 месяц,2814,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/bpmn-not,"Финансы, бизнес, Менеджмент, управление проектами",4
24,"Бренд-менеджер Курс «Бренд-менеджер» от Нетологии: обучение созданию и продвижению брендов с нуля. За 8 месяцев освоите профессию, научитесь работать с бренд-стратегией и выберете траекторию перфоманс-маркетолога или продакт-менеджера. Практическое обучение и поддержка экспертов.",Бренд-менеджер,"Курс «Бренд-менеджер» от Нетологии: обучение созданию и продвижению брендов с нуля. За 8 месяцев освоите профессию, научитесь работать с бренд-стратегией и выберете траекторию перфоманс-маркетолога или продакт-менеджера. Практическое обучение и поддержка экспертов.",8 месяцев,3895,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/brandmanagement,"Маркетинг, реклама, PR",2
25,"Бизнес-аналитик Профессия «Бизнес-аналитик» от Нетологии: научитесь выявлять проблемы бизнеса и находить решения для роста. В программе вы изучите бизнес-анализ, аналитиз данных и системный анализ, что поможет вам развить ключевые навыки для успешной карьеры в области аналитики.",Бизнес-аналитик,"Профессия «Бизнес-аналитик» от Нетологии: научитесь выявлять проблемы бизнеса и находить решения для роста. В программе вы изучите бизнес-анализ, аналитиз данных и системный анализ, что поможет вам развить ключевые навыки для успешной карьеры в области аналитики.",7 месяцев,3522,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/business-analytics-online,"Финансы, бизнес, Анализ данных",4
26,"Менеджер бизнес‑процессов Курс для специалистов по бизнес-процессам в Нетологии. Освойте моделирование, оптимизацию и автоматизацию бизнес-процессов для повышения эффективности компании. Изучите методики анализа, улучшения и внедрения изменений. Обучение длится 5,5 месяцев с дипломом о профессиональной переподготовке.",Менеджер бизнес‑процессов,"Курс для специалистов по бизнес-процессам в Нетологии. Освойте моделирование, оптимизацию и автоматизацию бизнес-процессов для повышения эффективности компании. Изучите методики анализа, улучшения и внедрения изменений. Обучение длится 5,5 месяцев с дипломом о профессиональной переподготовке.",5 месяц,3209,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология+компания ELMA,False,https://netology.ru/programs/business_process_manager,"Финансы, бизнес, Менеджмент, управление проектами, Нейросети",7
27,"Бизнес-трекер Освойте профессию бизнес-трекера с курсом в Нетологии. Научитесь диагностировать и улучшать бизнес-процессы, разрабатывать стратегии и поддерживать рост компаний. Обучение включает практические кейсы, вебинары и экспертную поддержку.",Бизнес-трекер,"Освойте профессию бизнес-трекера с курсом в Нетологии. Научитесь диагностировать и улучшать бизнес-процессы, разрабатывать стратегии и поддерживать рост компаний. Обучение включает практические кейсы, вебинары и экспертную поддержку.",4 месяц,2458,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/business_tracker,"Финансы, бизнес, Менеджмент, управление проектами",7
28,Нейросети для каждого Курс по нейросетям для бизнеса и маркетинга в Нетологии: научитесь применять генеративный ИИ для оптимизации процессов и ускорения задач. Обучение за 4 недели с реальными кейсами и практическими заданиями. Запишитесь и начните обучаться с нуля!,Нейросети для каждого,Курс по нейросетям для бизнеса и маркетинга в Нетологии: научитесь применять генеративный ИИ для оптимизации процессов и ускорения задач. Обучение за 4 недели с реальными кейсами и практическими заданиями. Запишитесь и начните обучаться с нуля!,4 недели,2532,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/chat-gpt,Нейросети,1
29,"Контент-маркетинг Станьте востребованным контент-маркетологом! Онлайн-курс для маркетологов и контент-менеджеров: освойте стратегии, инструменты и аналитику, создайте портфолио кейсов.",Контент-маркетинг,"Станьте востребованным контент-маркетологом! Онлайн-курс для маркетологов и контент-менеджеров: освойте стратегии, инструменты и аналитику, создайте портфолио кейсов.",3 месяца,2325,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/content-marketing,"Маркетинг, реклама, PR, Анализ данных, Менеджмент, управление проектами",2
30,Специалист по контекстной рекламе На курсе Специалист по контекстной рекламе вы научитесь настраивать рекламные кампании. Получите профильный сертификат в процессе обучения,Специалист по контекстной рекламе,На курсе Специалист по контекстной рекламе вы научитесь настраивать рекламные кампании. Получите профильный сертификат в процессе обучения,8 месяц,3196,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/context-course,"Маркетинг, реклама, PR, Менеджмент, управление проектами",2
31,Разработчик на C++ Профессия «Разработчик на C++» от Нетологии: вы освоите C++ с нуля до продвинутого уровня и добавите в портфолио до 15 проектов. Получите диплом и поддержку в трудоустройстве для успешного старта карьеры.,Разработчик на C++,Профессия «Разработчик на C++» от Нетологии: вы освоите C++ с нуля до продвинутого уровня и добавите в портфолио до 15 проектов. Получите диплом и поддержку в трудоустройстве для успешного старта карьеры.,6 месяцев,3764,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_FREELANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/cpp-developer,"Разработка, тестирование",8
32,"Критическое мышление и принятие решений Онлайн-курс «Критическое мышление и принятие решений» от Нетологии: обучение навыкам работы с информацией, умению выделять главное и грамотно аргументировать свою позицию. Примите участие в воркшопах и дебатах для отработки полученных знаний.",Критическое мышление и принятие решений,"Онлайн-курс «Критическое мышление и принятие решений» от Нетологии: обучение навыкам работы с информацией, умению выделять главное и грамотно аргументировать свою позицию. Примите участие в воркшопах и дебатах для отработки полученных знаний.",6 недел,2268,AUD_ANALYST AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/critical_thinking_new,Психология,5
33,"Инженер машинного обучения: курс для IT-специалистов ✔ Изучите все аспекты ML на продвинутом курсе от Нетологии ✔ Работа с продвинутыми моделями, специализация в CV или NLP ✔ Поддержка ML‑инженеров из Amazon, Яндекса, Сбера",Инженер машинного обучения: курс для IT-специалистов,"✔ Изучите все аспекты ML на продвинутом курсе от Нетологии ✔ Работа с продвинутыми моделями, специализация в CV или NLP ✔ Поддержка ML‑инженеров из Amazon, Яндекса, Сбера",11 месяцев,3300,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология,False,https://netology.ru/programs/cv-inzhener,Нейросети,1
34,Кибербезопасность Обучение информационной безопасности на Магистерской программе НИУ «Высшая школа экономики» и Нетологии. Станьте специалистом по кибербезопасности и получите высшее образование с дипломом государственного образца.,Кибербезопасность,Обучение информационной безопасности на Магистерской программе НИУ «Высшая школа экономики» и Нетологии. Станьте специалистом по кибербезопасности и получите высшее образование с дипломом государственного образца.,2 год,465,AUD_ANALYST AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY AUD_SALES,Нетология,False,https://netology.ru/programs/cybersec,"Финансы, бизнес",8
35,"Дата-инженер Профессия «Дата-инженер» от Нетологии: научитесь автоматизировать работу с данными и разрабатывать архитектуру данных. Практика на реальных проектах поможет вам развить ключевые навыки, необходимые для успешной карьеры в сфере обработки данных.",Дата-инженер,"Профессия «Дата-инженер» от Нетологии: научитесь автоматизировать работу с данными и разрабатывать архитектуру данных. Практика на реальных проектах поможет вам развить ключевые навыки, необходимые для успешной карьеры в сфере обработки данных.",15 месяцев,3126,AUD_ANALYST AUD_BEGINNER AUD_CAREER_SWITCHER AUD_CREATIVE AUD_EDUCATION AUD_ENTREPRENEUR AUD_FINANCE AUD_HEALTHCARE AUD_IT_PRO AUD_MANAGEMENT AUD_MARKETING AUD_PSYCHOLOGY,Нетология+Yandex Cloud,False,https://netology.ru/programs/data-engineer,"Менеджмент, управление проектами",1
